"","st_louis_fed","censusyear","county","industrycode","total_output_value"
"1",1,1929,"Oktibbeha","118",16671
"2",1,1931,"Oktibbeha","118",9365
"3",0,1929,"Warren","1014",64596
"4",0,1931,"Warren","1014",43397
"5",1,1929,"Monroe","101",69514
"6",1,1931,"Monroe","101",42492
"7",0,1929,"Lincoln","136",17662
"8",0,1931,"Lincoln","136",19929
"9",0,1929,"Hinds","136",129085
"10",0,1931,"Hinds","136",86585
"11",0,1929,"Lauderdale","314",247405
"12",0,1931,"Forrest","1677",11900
"13",1,1929,"Monroe","136",24256
"14",1,1931,"Monroe","136",14046
"15",1,1929,"Monroe","119",46610
"16",1,1931,"Monroe","119",27300
"17",1,1931,"Monroe","1676",17895
"18",0,1929,"Harrison","104",227007
"19",0,1931,"Harrison","104",134524
"20",0,1929,"Hinds","103",455884
"21",0,1931,"Hinds","103",135760
"22",0,1929,"Lauderdale","103",656993
"23",1,1929,"Attala","116",137409
"24",1,1931,"Attala","114",264847
"25",0,1931,"Pearl River","317",17359
"26",0,1929,"Hancock","119",32582
"27",0,1931,"Hancock","119",33492
"28",1,1929,"Yalobusha","314",92000
"29",1,1929,"Humphreys","119",24392
"30",1,1931,"Humphreys","119",14514
"31",1,1929,"Humphreys","101",59072
"32",1,1931,"Humphreys","101",29000
"33",1,1931,"Humphreys","1677",11158
"34",0,1929,"Hinds","520",28617
"35",0,1931,"Hinds","520",33539
"36",1,1929,"Oktibbeha","111",1259691
"37",0,1931,"Warren","112",27863
"38",0,1929,"Harrison","101",18118
"39",0,1931,"Harrison","101",13687
"40",0,1929,"Harrison","136",57865
"41",0,1931,"Harrison","136",38873
"42",0,1929,"Harrison","104",31927
"43",0,1931,"Harrison","104",238200
"44",0,1929,"Harrison","114",108000
"45",0,1931,"Harrison","114",51450
"46",0,1931,"Harrison","1676",38851
"47",0,1929,"Lincoln","119",34310
"48",0,1931,"Lincoln","119",22192
"49",0,1929,"Lincoln","101",40031
"50",0,1931,"Lincoln","101",27126
"51",0,1929,"Lincoln","622",463920
"52",0,1931,"Lincoln","622",383362
"53",0,1929,"Lincoln","103",277945
"54",0,1931,"Lincoln","103",200285
"55",0,1931,"Lincoln","1676",20400
"56",1,1931,"Noxubee","119",6300
"57",0,1929,"Warren","101",169683
"58",0,1931,"Warren","101",165706
"59",0,1929,"Harrison","104",375565
"60",0,1931,"Harrison","104",89511
"61",0,1929,"Madison","119",40995
"62",0,1931,"Madison","119",28051
"63",0,1929,"Leake","101",36551
"64",0,1931,"Leake","101",16299
"65",1,1931,"Coahoma","1677",11000
"66",0,1929,"Claiborne","119",10080
"67",0,1931,"Claiborne","119",7867
"68",1,1931,"Lafayette","1677",7738
"69",1,1931,"Sunflower","1677",12776
"70",1,1931,"Sunflower","119",5617
"71",1,1929,"Coahoma","119",55023
"72",1,1931,"Coahoma","119",32700
"73",1,1929,"Coahoma","520",27950
"74",1,1931,"Coahoma","520",12998
"75",0,1931,"Lauderdale","1677",9800
"76",1,1931,"Coahoma","622",286818
"77",0,1929,"Harrison","101",93254
"78",0,1931,"Harrison","101",89414
"79",1,1929,"Alcorn","101",103172
"80",1,1931,"Alcorn","101",87522
"81",1,1929,"Lee","101",82000
"82",1,1931,"Lee","101",56870
"83",1,1929,"Leflore","101",229671
"84",1,1931,"Leflore","101",158257
"85",1,1929,"Coahoma","101",127265
